caption,image_file
a girl with a magic staff makes her way through the forest,alenushka.jpg
conversation between the army and the beauties near the tents,army.jpg
a hero on a black horse looks from a hillock at the defeated knights,battlefield.jpg
a black rider on a black horse makes his way through the forest against the backdrop of sunset,blacck.jpg
a tower from which a girl looks out and looks at the ships sailing into the distance,buan.jpg
a crowd of people and geese and swans below,gusi-lebedi.jpg
a traveler makes his way through a swamp and looks for his arrow,ivan_boloto.jpg
a boy and a girl look at a cow pasture near a river at sunset,ivan_kozel.jpg
a female traveler coming out of the forest sees a castle on a hill and ships on the sea,kremlin.jpg
children look at a swan on the lake,lake.jpg
an old man on a cart drawn by a white horse leaves his three daughters who say goodbye to him,phater.jpg
a rider on a horse reads what is written on a stone surrounded by skulls,stone.jpg
the king looks up near his palace and the roosters look at the king,tsar_goroh.jpg
the king gives his blessing to his daughter's marriage and his subjects look on,venchanie.jpg
a girl walks passionately through a thicket and sees a white rider on a white horse,white.jpg
the evil sorceress Baba Yaga flies in her mortar through the forest,yaga.jpg
the guy caught the phoenix bird by the tail,zar-ptitca.jpg
